Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,TSS/MV,TCS/MV,TPF/MV,MV/MV,CSL/MV,CSLM/MV,CSUM/MV,CSH/MV,PL/MV,PLM/MV,PUM/MV,PH/MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:05,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e1.dat,1,0,Low,17048871309,16845898471,202972837.7,33905250113,1980549927,4876126292,4602799561,5386422690,440872696.2,594071130.7,856136080.6,238230776.3,0.502838683,0.496852211,0.005986472,1,0.058414255,0.143816261,0.135754774,0.158866921,0.01300308,0.017521509,0.025250841,0.007026368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:05,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e1.dat,1,0,High,17048871309,-10480333.8,17059351642,33905250113,-10480333.8,0,0,0,2431902957,5470197423,5458935642,5624653467,0.502838683,-0.000309107,0.503147789,1,-0.000309107,0,0,0,0.071726442,0.161337769,0.161005615,0.165893289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:05,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e1.dat,1,0,Average,17048871309,7644759269,8925272698,33905250113,814502349.3,2265609729,2071906928,2492740262,1265123629,3578136689,3222408236,2868163727,0.502838683,0.225474204,0.263241612,1,0.024022898,0.066821797,0.061108735,0.073520775,0.037313502,0.105533411,0.095041571,0.084593499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:14,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e2.dat,1,0,Low,16966910934,16678581614,288329320.1,33651285403,1889951813,4550691591,4877638816,5360299393,381936146.1,886736358.3,709808100.3,236186561.6,0.504198004,0.495629852,0.008568152,1,0.056162842,0.13523084,0.144946583,0.159289588,0.011349823,0.026350743,0.021093046,0.007018649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:14,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e2.dat,1,0,High,16966910934,-5792855.612,16972703789,33651285403,-5792855.612,0,0,0,2277680815,5437427949,5587446917,5596485955,0.504198004,-0.000172144,0.504370148,1,-0.000172144,0,0,0,0.067684809,0.161581583,0.166039628,0.166308237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:14,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e2.dat,1,0,Average,16966910934,7415023856,8785127090,33651285403,729748912.7,2139736509,2071579175,2473959259,1077119302,3681063212,3330188055,2858013617,0.504198004,0.220348904,0.261063641,1,0.021685618,0.06358558,0.06156018,0.073517526,0.032008266,0.109388487,0.098961689,0.084930296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:23,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e3.dat,1,0,Low,17003969492,16722036160,281933332.5,33746299459,1994763552,4592389408,4903813825,5231069375,438935254.4,632533991.5,674987849.2,297370608.9,0.503876566,0.49552207,0.008354496,1,0.059110586,0.136085718,0.14531412,0.155011645,0.013006915,0.018743803,0.020001833,0.008811947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:23,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e3.dat,1,0,High,17003969492,-20293807.8,17024263300,33746299459,-10178879.86,-10114927.93,0,0,2443877686,5235038327,5578801674,5528439984,0.503876566,-0.000601364,0.50447793,1,-0.00030163,-0.000299734,0,0,0.072419131,0.155129256,0.165315954,0.163823592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:23,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e3.dat,1,0,Average,17003969492,7475093534,8870970064,33746299459,777726239.4,2187628955,2053637909,2456100430,1439109152,3456780947,3373934476,2821132396,0.503876566,0.22150854,0.26287238,1,0.023046267,0.064825744,0.060855203,0.072781326,0.042644947,0.102434371,0.099979391,0.083598274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:33,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e4.dat,1,0,Low,16883864827,16698253897,185610929.4,33591913361,2045576417,4779199089,4754387780,5119090612,365151274.5,662608170.6,751318348.9,332870981.6,0.502616944,0.497091479,0.005525465,1,0.060894906,0.142272309,0.1415337,0.152390564,0.010870214,0.019725229,0.022366048,0.009909259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
