Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,g[1],g[2],g[3],g[4],g[5],g[6],g[7],g[8],g[9],g[10],g[11],g[12],g[13],g[14],g[15],g[16],g[17],g[18],g[19],g[20],g[21],g[22],g[23],g[24],g[25],g[26],g[27],g[28],g[29],g[30],g[31],g[32],g[33],g[34],g[35],g[36],g[37],g[38],g[39],g[40],g[41],g[42],g[43],g[44],g[45],g[46],g[47],g[48],g[49],g[50],g[51],g[52],Prod,Cos
Fri,May,1,0.60275463,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e1.dat,1,0,Average,17048871309,7644759269,8925272698,33905250113,814502349.3,2265609729,2071906928,2492740262,1265123629,3578136689,3222408236,2868163727,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.602858796,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e2.dat,1,0,Average,16966910934,7415023856,8785127090,33651285403,729748912.7,2139736509,2071579175,2473959259,1077119302,3681063212,3330188055,2858013617,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.602974537,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e3.dat,1,0,Average,17003969492,7475093534,8870970064,33746299459,777726239.4,2187628955,2053637909,2456100430,1439109152,3456780947,3373934476,2821132396,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.603078704,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e4.dat,1,0,Average,16883864827,7437260381,8883691005,33591913361,719569523.7,2140046220,2170718107,2406926531,1538222712,3449461599,3291804173,2812443467,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.603206019,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e5.dat,1,0,Average,16983881956,7281503310,8891760360,33703878280,716665382.8,1891714636,2190963121,2482160170,1450638016,3716622342,3324281620,2866870501,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.603321759,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e6.dat,1,0,Average,17168225454,7696591178,9030040368,34100870743,878982026.7,2187702817,2095269290,2534637044,1484008689,3418306396,3259071994,2900704798,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.6034375,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e7.dat,1,0,Average,17011577340,7420371276,8834226524,33849713085,742442245.6,2076818731,2150976174,2450134125,1072302018,3849452802,3245966976,2862999711,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.603553241,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e8.dat,1,0,Average,17037337451,7397053726,8852048112,33853040196,725399105.5,2102881214,2138385455,2430387951,1325839075,3739398618,3344189303,2874035349,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.603668981,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e9.dat,1,0,Average,16803247485,7237804057,8824572783,33294450266,806277209.2,2084015884,1914958001,2432552963,1263763673,3888095391,3282356468,2857009371,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.603773148,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e10.dat,1,0,Average,17033128813,7473611313,8835014567,33834676344,878528764.2,2101025992,2015906576,2478149981,1420642594,3429141466,3385523937,2890169252,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.603888889,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e11.dat,1,0,Average,16957167876,7346019874,8881883315,33623599656,713496749.4,2120493947,2164114663,2347914516,1324609830,3801144656,3226782321,2949014779,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.60400463,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e12.dat,1,0,Average,16927088084,7415296162,8794533310,33614478546,627029263.5,2286262433,2050655392,2451349073,1380107256,3550706364,3251507450,2890928961,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604108796,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e13.dat,1,0,Average,16949231164,7502859955,8872046000,33629487645,753382763,2208402076,2093398927,2447676189,1277068343,3609240839,3246841451,2864914575,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
